key,title,author_key,author_name,first_publish_year,edition_count,language
/works/OL20746848W,Moby Dick,"OL29497A,OL3234554A","Herman Melville,Nigel Cliff",2016,2,eng
/works/OL26032991W,Moby Dick by Herman Melville,OL29497A,Herman Melville,2020,52,eng
/works/OL16012973W,Moby Dick,"OL6852461A,OL29497A","Lance Stahlberg,Herman Melville",2009,4,eng
/works/OL36180413W,Moby Dick,OL29497A,Herman Melville,2020,11,"eng,spa,por,ger,ita,fre"
/works/OL30932533W,Moby Dick,OL29497A,Herman Melville,2020,20,"spa,eng,ita,fre"
/works/OL14953639W,Moby Dick,"OL2154791A,OL29497A","T. W. Robinson,Herman Melville",2003,3,eng
/works/OL17741895W,Moby Dick,"OL3134735A,OL29497A","Archie Oliver,Herman Melville",2004,2,eng
/works/OL30237660W,Moby Dick,OL29497A,Herman Melville,2019,10,"spa,eng"
/works/OL25985378W,Moby Dick,OL29497A,Herman Melville,2020,25,eng
/works/OL35336208W,Moby Dick,OL29497A,Herman Melville,2020,18,"dut,eng,spa"
/works/OL30021372W,Moby Dick,OL29497A,Herman Melville,2019,14,"eng,spa"
/works/OL28688888W,Moby Dick,OL29497A,Herman Melville,2010,6,"por,fre,eng"
/works/OL30693859W,Moby Dick,OL29497A,Herman Melville,2019,11,eng
/works/OL29700118W,Moby-Dick,OL29497A,Herman Melville,2016,11,eng
/works/OL41803002W,Moby Dick,OL29497A,Herman Melville,2018,10,"spa,eng"
/works/OL5727783W,"Moby-Dick, or, the whale",OL1392696A,Jan Needle,2006,2,eng
/works/OL41407092W,"Moby Dick; or, the Whale",OL29497A,Herman Melville,2014,15,eng
/works/OL17344442W,Moby Dick,"OL2703408A,OL9963126A","Elisabetta Dami,Xavier Solsona Brillas",2016,3,-
/works/OL8819756W,Herman Melville's Moby Dick,"OL3015738A,OL29497A","Rod Espinosa,Herman Melville",2007,3,eng
/works/OL9565886W,Moby Dick,"OL3568052A,OL29497A","Henry Brook,Herman Melville",2007,4,eng
/works/OL29531316W,Moby-Dick,OL29497A,Herman Melville,2016,8,eng
/works/OL15170175W,Marvel Illustrated: Moby Dick,OL3274307A,Pascal Alixe,2010,6,eng
/works/OL34754760W,Moby Dick,"OL12539452A,OL29497A,OL8465367A,OL12539970A","Josep Lorman Roig,Herman Melville,David Soler García,Adolfo Usero",2007,9,-
/works/OL41416193W,Moby Dick,OL29497A,Herman Melville,2014,10,eng
/works/OL15951844W,Why read Moby-Dick?,OL67276A,Nathaniel Philbrick,2011,2,eng
